time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Gamma Communications PLC,GAMA,POS,Change of position,Transaction in Own Shares,0153R,17743008,977,0.36,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/gamma-communications--gama/transaction-in-own-shares/9726129
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Georgina Energy PLC,GEX,UPD,,Hussar EP513 Water Well Completed,0149R,17743004,15.5,7.266,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/georgina-energy-plc--gex/hussar-ep513-water-well-completed/9726128
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Aberdeen Asian Income Fund Limited,AAIF,IR,Interim results,Half-year Financial Report,0157R,17743005,317,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/aberdeen-asian-income-fund-limited--aaif/half-year-financial-report/9726131
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Kainos Group plc,KNOS,TST,Trading statement,Trading Update,0291R,17743035,1182,21.542,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/kainos-group--knos/trading-update/9726177
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Redcentric PLC,RCN,POS,Change of position,Transaction in Own Shares,0289R,17743034,107.02,0.019,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/redcentric--rcn/transaction-in-own-shares/9726176
2026-08-18 07:00:02,2026-08-18T06:00:02.000,InterContinental Hotels Group PLC,IHG,POS,Change of position,Transaction in Own Shares,0275R,17743032,160.5,0.375,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/intercontinental-hotels-group--ihg/transaction-in-own-shares/9726174
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Kingfisher PLC,KGF,POS,Change of position,Transaction in Own Shares,0274R,17743031,323.2,0.373,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/kingfisher--kgf/transaction-in-own-shares/9726173
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Frasers Group PLC,FRAS,OUP,Offer update,Results of Offer for HUGO BOSS,0305R,17743042,817.5,2.895,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/frasers-group--fras/results-of-offer-for-hugo-boss/9726184
2026-08-18 07:00:02,2026-08-18T06:00:02.000,GlobalData PLC,DATA,POS,Change of position,Transaction in Own Shares,0263R,17743029,84.6,0.714,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/globaldata--data/transaction-in-own-shares/9726171
2026-08-18 07:00:02,2026-08-18T06:00:02.000,M. P. Evans Group PLC,MPE,POS,Change of position,Transaction in Own Shares,0244R,17743028,1708,1.667,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/m-p-evans-group--mpe/transaction-in-own-shares/9726169
2026-08-18 07:00:02,2026-08-18T06:00:02.000,AEP Plantations PLC,AEP,POS,Change of position,Transaction in Own Shares,0261R,17743027,188.2,4.556,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/anglo-eastern-plantations--aep/transaction-in-own-shares/9726170
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Grafton Group PLC,GFTU,POS,Change of position,Transaction in Own Shares,0235R,17743026,1023,-0.195,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/grafton-group-ut-cdi---gftu/transaction-in-own-shares/9726168
2026-08-18 07:00:02,2026-08-18T06:00:02.000,Plus500 Limited,PLUS,POS,Change of position,Transaction in Own Shares,0268R,17743030,3838,0.314,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/plus500-ltd-di---plus/transaction-in-own-shares/9726172
2026-08-18 07:00:01,2026-08-18T06:00:01.000,Keller Group PLC,KLR,POS,Change of position,Transaction in Own Shares,9380Q,17742999,2976,-3.752,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/keller-group--klr/transaction-in-own-shares/9726125
2026-08-18 07:00:01,2026-08-18T06:00:01.000,Johnson Service Group PLC,JSG,POS,Change of position,Transaction in Own Shares,9375Q,17742998,144.8,0.486,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/johnson-service-group--jsg/transaction-in-own-shares/9726123
2026-08-18 07:00:01,2026-08-18T06:00:01.000,Fevertree Drinks PLC,FEVR,POS,Change of position,Transaction in Own Shares,9379Q,17742997,843.5,0.059,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/fevertree-drinks--fevr/transaction-in-own-shares/9726124
2026-08-18 07:00:01,2026-08-18T06:00:01.000,BHP Group Limited,BHP,MSC,Miscellaneous,BHP FY2026 Results Presentation,0376R,17742994,3257,0.432,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/bhp-group-limited-npv-di---bhp/bhp-fy2026-results-presentation/9726121
2026-08-18 07:00:01,2026-08-18T06:00:01.000,JSC Halyk Bank,HSBK,IR,Interim results,Half-year Financial Report,1073R,17742987,33.75,-3.846,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/jsc-halyk-bank--37qb/half-year-financial-report/9726112
2026-08-18 07:00:01,2026-08-18T06:00:01.000,Bendigo and Adelaide Bank Limited,BF49,ACS,,BEN Regulatory matters and unaudited FY26 results ,0763R,17742986,,,,,,,
